K13_6D,L2F,MAD,LI13:KLYS:61,L2F,,,KLYS:LI13:61,304,,SYMBOLS,A,FACET2,S13,,,LCAV,,10FT,292.4547326,959.497154,1291.57635,4237.455217,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1291.57635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
BPM13701,L2F,MAD,LI13:BPMS:701,L2F,,,BPMS:LI13:701,304,,SYMBOLS,A,FACET2,S13,,,BPM,,STRIPLINE-2,294.0643826,964.778158,1293.186,4242.73622,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPMS:%25,BPMS:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
Q13701,L2F,MAD,LI13:QUAD:701,L2F,,,QUAD:LI13:701,304,,SYMBOLS,A,FACET2,S13,,,QUAD,Q13701,1.085Q4.31,294.0643826,964.778158,1293.186,4242.73622,,,,,,,,"	- NO SECTION -",,,,,,N,.1068,,,,,,,,,,-7.530234489809,7.050781357499,,,,,,,,,,,,,,,,,,1293.186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUAD:%25,QUAD:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
XC13702,L2F,MAD,LI13:XCOR:702,L2F,,,XCOR:LI13:702,304,,SYMBOLS,A,FACET2,S13,,,XCOR,,TYPE-4,294.4783826,966.136426,1293.6,4244.094488,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XCOR:%25,XCOR:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
YC13703,L2F,MAD,LI13:YCOR:703,L2F,,,YCOR:LI13:703,304,,SYMBOLS,A,FACET2,S13,,,YCOR,,TYPE-4,294.7283826,966.956636,1293.85,4244.914698,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1293.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YCOR:%25,YCOR:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
K13_7A,L2F,MAD,LI13:KLYS:71,L2F,,,KLYS:LI13:71,304,,SYMBOLS,A,FACET2,S13,,,LCAV,,10FT,295.6668326,970.03554,1294.78845,4247.993602,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.120973731,-38.25,17.778973664137,.25,,,,,,,,,,,,,,,,,,,,,,,,1294.78845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
PEN1313,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,13-13,,PEN,,,,,1294.838,4248.156168,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K13_7B,L2F,MAD,LI13:KLYS:71,L2F,,,KLYS:LI13:71,304,,SYMBOLS,A,FACET2,S13,,,LCAV,,10FT,298.7109326,980.022745,1297.83255,4257.980807,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1297.83255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
K13_7C,L2F,MAD,LI13:KLYS:71,L2F,,,KLYS:LI13:71,304,,SYMBOLS,A,FACET2,S13,,,LCAV,,10FT,301.7550326,990.009949,1300.87665,4267.968012,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1300.87665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
PEN1314,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,13-14,,PEN,,,,,1300.934,4268.156168,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K13_7D,L2F,MAD,LI13:KLYS:71,L2F,,,KLYS:LI13:71,304,,SYMBOLS,A,FACET2,S13,,,LCAV,,10FT,304.7991326,999.997154,1303.92075,4277.955217,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1303.92075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
BPM13801,L2F,MAD,LI13:BPMS:801,L2F,,,BPMS:LI13:801,304,,SYMBOLS,A,FACET2,S13,,,BPM,,STRIPLINE-2,306.4087826,1005.278158,1305.5304,4283.23622,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305.5304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPMS:%25,BPMS:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
Q13801,L2F,MAD,LI13:QUAD:801,L2F,,,QUAD:LI13:801,304,,SYMBOLS,A,FACET2,S13,,,QUAD,Q13801,1.085Q4.31,306.4087826,1005.278158,1305.5304,4283.23622,,,,,,,,"	- NO SECTION -",,,,,,N,.1068,,,,,,,,,,8.427769977591,-7.891170391003,,,,,,,,,,,,,,,,,,1305.5304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUAD:%25,QUAD:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
XC13802,L2F,MAD,LI13:XCOR:802,L2F,,,XCOR:LI13:802,304,,SYMBOLS,A,FACET2,S13,,,XCOR,,TYPE-4,306.8183826,1006.62199,1305.94,4284.580052,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XCOR:%25,XCOR:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
YC13803,L2F,MAD,LI13:YCOR:803,L2F,,,YCOR:LI13:803,304,,SYMBOLS,A,FACET2,S13,,,YCOR,,TYPE-4,307.2247826,1007.955323,1306.3464,4285.913386,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1306.3464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YCOR:%25,YCOR:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
K13_8A,L2F,MAD,LI13:KLYS:81,L2F,,,KLYS:LI13:81,304,,SYMBOLS,A,FACET2,S13,,,LCAV,,10FT,308.0112326,1010.53554,1307.13285,4288.493602,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.120973737,-38.25,17.778973666108,.25,,,,,,,,,,,,,,,,,,,,,,,,1307.13285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
PEN1315,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,13-15,,PEN,,,,,1307.182,4288.654856,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K13_8B,L2F,MAD,LI13:KLYS:81,L2F,,,KLYS:LI13:81,304,,SYMBOLS,A,FACET2,S13,,,LCAV,,10FT,311.0553326,1020.522745,1310.17695,4298.480807,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1310.17695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
K13_8C,L2F,MAD,LI13:KLYS:81,L2F,,,KLYS:LI13:81,304,,SYMBOLS,A,FACET2,S13,,,LCAV,,10FT,314.0994326,1030.509949,1313.22105,4308.468012,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1313.22105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
PEN1316,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,13-16,,PEN,,,,,1313.278,4308.654856,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K13_8D,L2F,MAD,LI13:KLYS:81,L2F,,,KLYS:LI13:81,304,,SYMBOLS,A,FACET2,S13,,,LCAV,,10FT,317.1435326,1040.497154,1316.26515,4318.455217,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.120973732,-38.25,17.778973664466,.25,,,,,,,,,,,,,,,,,,,,,,,,1316.26515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
PEN1317,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,13-17,,PEN,,,,,1316.529,4319.320866,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
XC13900,L2F,MAD,LI13:XCOR:900,L2F,,,XCOR:LI13:900,304,,SYMBOLS,A,FACET2,S13,,,XCOR,,TYPE-4,318.0083826,1043.334589,1317.13,4321.292651,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XCOR:%25,XCOR:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
YC13900,L2F,MAD,LI13:YCOR:900,L2F,,,YCOR:LI13:900,304,,SYMBOLS,A,FACET2,S13,,,YCOR,,TYPE-4,318.2583826,1044.154799,1317.38,4322.112861,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YCOR:%25,YCOR:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
BPM13901,L2F,MAD,LI13:BPMS:901,L2F,,,BPMS:LI13:901,304,,SYMBOLS,A,FACET2,S13,,,BPM,,STRIPLINE-2,319.0722826,1046.825074,1318.1939,4324.783136,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318.1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPMS:%25,BPMS:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
Q13901,L2F,MAD,LI13:QUAD:901,L2F,,,QUAD:LI13:901,304,,SYMBOLS,A,FACET2,S13,,,QUAD,Q13901,1.085Q4.31,319.0722826,1046.825074,1318.1939,4324.783136,,,,,,,,"	- NO SECTION -",,,,,,N,.1068,,,,,,,,,,-9.102795916085,8.523217149892,,,,,,,,,,,,,,,,,,1318.1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUAD:%25,QUAD:LI13%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
BPN13END,BYP,MAD,,,,,,308,,SYMBOLS,A,AD_ACCEL,,,,INST,,,1330.918156,4366.529383,1320.8,4333.333333,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
BPN14BEG,BYP,MAD,,,,,,308,,SYMBOLS,A,AD_ACCEL,,,,INST,,,1330.918156,4366.529383,1320.8,4333.333333,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K14_1A,L2F,MAD,LI14:KLYS:11,L2F,,,KLYS:LI14:11,304,,SYMBOLS,A,FACET2,S14,,,LCAV,,10FT,323.2004326,1060.368873,1322.32205,4338.326936,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1322.32205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
PEN1401,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,14-1,,PEN,,,,,1322.374,4338.497375,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K14_1B,L2F,MAD,LI14:KLYS:11,L2F,,,KLYS:LI14:11,304,,SYMBOLS,A,FACET2,S14,,,LCAV,,10FT,326.2445326,1070.356078,1325.36615,4348.31414,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1325.36615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
VPIO_BPN14_161,BYP,NONMAD,VPIO:BPN14:161,,,,,,,CABLES,A,AD_ACCEL,,,,PUMP,,ION PUMP,,,1327,4353.674541,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VPIO:BPN14%25,VPIO:%25,,,
K14_1C,L2F,MAD,LI14:KLYS:11,L2F,,,KLYS:LI14:11,304,,SYMBOLS,A,FACET2,S14,,,LCAV,,10FT,329.2886326,1080.343283,1328.41025,4358.301345,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1328.41025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
PEN1402,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,14-2,,PEN,,,,,1328.47,4358.497375,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K14_1D,L2F,MAD,LI14:KLYS:11,L2F,,,KLYS:LI14:11,304,,SYMBOLS,A,FACET2,S14,,,LCAV,,10FT,332.3327326,1090.330488,1331.45435,4368.28855,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1331.45435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
BPM14201,L2F,MAD,LI14:BPMS:201,L2F,,,BPMS:LI14:201,304,,SYMBOLS,A,FACET2,S14,,,BPM,,STRIPLINE-2,333.9423826,1095.611491,1333.064,4373.569554,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPMS:%25,BPMS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
Q14201,L2F,MAD,LI14:QUAD:201,L2F,,,QUAD:LI14:201,304,,SYMBOLS,A,FACET2,S14,,,QUAD,Q14201,1.085Q4.31,333.9423826,1095.611491,1333.064,4373.569554,,,,,,,,"	- NO SECTION -",,,,,,N,.1068,,,,,,,,,,11.926521761704,-11.167155207588,,,,,,,,,,,,,,,,,,1333.064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUAD:%25,QUAD:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
XC14202,L2F,MAD,LI14:XCOR:202,L2F,,,XCOR:LI14:202,304,,SYMBOLS,A,FACET2,S14,,,XCOR,,TYPE-4,334.3483826,1096.943512,1333.47,4374.901575,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XCOR:%25,XCOR:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
YC14203,L2F,MAD,LI14:YCOR:203,L2F,,,YCOR:LI14:203,304,,SYMBOLS,A,FACET2,S14,,,YCOR,,TYPE-4,334.5983826,1097.763722,1333.72,4375.721785,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1333.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YCOR:%25,YCOR:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
K14_2A,L2F,MAD,LI14:KLYS:21,L2F,,,KLYS:LI14:21,304,,SYMBOLS,A,FACET2,S14,,,LCAV,,10FT,335.5448326,1100.868873,1334.66645,4378.826936,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.120973731,-38.25,17.778973664137,.25,,,,,,,,,,,,,,,,,,,,,,,,1334.66645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
PEN1403,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,14-3,,PEN,,,,,1334.718,4378.996063,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K14_2B,L2F,MAD,LI14:KLYS:21,L2F,,,KLYS:LI14:21,304,,SYMBOLS,A,FACET2,S14,,,LCAV,,10FT,338.5889326,1110.856078,1337.71055,4388.81414,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1337.71055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
K14_2C,L2F,MAD,LI14:KLYS:21,L2F,,,KLYS:LI14:21,304,,SYMBOLS,A,FACET2,S14,,,LCAV,,10FT,341.6330326,1120.843283,1340.75465,4398.801345,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1340.75465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
PEN1404,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,14-4,,PEN,,,,,1340.814,4398.996063,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K14_2D,L2F,MAD,LI14:KLYS:21,L2F,,,KLYS:LI14:21,304,,SYMBOLS,A,FACET2,S14,,,LCAV,,10FT,344.6771326,1130.830488,1343.79875,4408.78855,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1343.79875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
BPM14301,L2F,MAD,LI14:BPMS:301,L2F,,,BPMS:LI14:301,304,,SYMBOLS,A,FACET2,S14,,,BPM,,STRIPLINE-2,346.2867826,1136.111491,1345.4084,4414.069554,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPMS:%25,BPMS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
Q14301,L2F,MAD,LI14:QUAD:301,L2F,,,QUAD:LI14:301,304,,SYMBOLS,A,FACET2,S14,,,QUAD,Q14301,1.085Q4.31,346.2867826,1136.111491,1345.4084,4414.069554,,,,,,,,"	- NO SECTION -",,,,,,N,.1068,,,,,,,,,,-12.381843716622,11.593486626051,,,,,,,,,,,,,,,,,,1345.4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUAD:%25,QUAD:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
XC14302,L2F,MAD,LI14:XCOR:302,L2F,,,XCOR:LI14:302,304,,SYMBOLS,A,FACET2,S14,,,XCOR,,TYPE-4,346.6983826,1137.461885,1345.82,4415.419948,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1345.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XCOR:%25,XCOR:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
YC14303,L2F,MAD,LI14:YCOR:303,L2F,,,YCOR:LI14:303,304,,SYMBOLS,A,FACET2,S14,,,YCOR,,TYPE-4,347.0995826,1138.778158,1346.2212,4416.73622,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1346.2212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YCOR:%25,YCOR:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
K14_3A,L2F,MAD,LI14:KLYS:31,L2F,,,KLYS:LI14:31,304,,SYMBOLS,A,FACET2,S14,,,LCAV,,10FT,347.8892326,1141.368873,1347.01085,4419.326936,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.120973732,-38.25,17.778973664466,.25,,,,,,,,,,,,,,,,,,,,,,,,1347.01085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
PEN1405,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,14-5,,PEN,,,,,1347.062,4419.494751,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K14_3B,L2F,MAD,LI14:KLYS:31,L2F,,,KLYS:LI14:31,304,,SYMBOLS,A,FACET2,S14,,,LCAV,,10FT,350.9333326,1151.356078,1350.05495,4429.31414,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1350.05495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
K14_3C,L2F,MAD,LI14:KLYS:31,L2F,,,KLYS:LI14:31,304,,SYMBOLS,A,FACET2,S14,,,LCAV,,10FT,353.9774326,1161.343283,1353.09905,4439.301345,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1353.09905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
PEN1406,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,14-6,,PEN,,,,,1353.158,4439.494751,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
VGCC_BPN14_393,BYP,NONMAD,VGCC:BPN14:393,,,,,,,CABLES,A,AD_ACCEL,,,,INST,,COLD CATHODE,,,1355.321,4446.591207,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGCC:BPN14%25,VGCC:%25,,,
VGPR_BPN14_393,BYP,NONMAD,VGPR:BPN14:393,,,,,,,CABLES,A,AD_ACCEL,,,,INST,,PIRANI,,,1355.321,4446.591207,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGPR:BPN14%25,VGPR:%25,,,
QBP14,BYP,MAD,QUAD:BPN14:400,BYP,,,,308,,SYMBOLS,A,AD_ACCEL,BPN14,,,QUAD,QBP14,2Q4,1366.249459,4482.445732,1356.131303,4449.249682,,,,,,,,"	- NO SECTION -",,,,,,N,.1244,,,,,,,,,,-2.011048559799,1.616598520738,,,,,,,,,,,,,,,,,,1356.131303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUAD:BPN14%25,QUAD:%25,"Commissioned, Online",09/21/2022,"SC_BSYD, SC_BSYD2, SC_DASEL, SC_DASEL2, SC_HXR, SC_HXR2, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
K14_3D,L2F,MAD,LI14:KLYS:31,L2F,,,KLYS:LI14:31,304,,SYMBOLS,A,FACET2,S14,,,LCAV,,10FT,357.0215326,1171.330488,1356.14315,4449.28855,,,,,,,,"	- NO SECTION -",,,,,,N,3.0441,2856,54.12097373,-38.25,17.778973663809,.25,,,,,,,,,,,,,,,,,,,,,,,,1356.14315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:%25,KLYS:LI14%25,,,"F2_ELEC, F2_ELEC_PAX, F2_POSI, F2_SCAV, "
